ID,Category_ID,Name,DOP_Refrigerate_Min,DOP_Refrigerate_Max,DOP_Freeze_Min,DOP_Freeze_Max,Safe_Minimum_Temperature
340,6,Barbecue sauce,,,,,5
341,6,Chutney,,,,,5
342,6,"Cream sauces, milk solids",,,,,5
343,6,Dry gravy mixes,,,,,5
344,6,Gravy,,,,,5
345,6,Honey,,,,,5
346,6,Horseradish,12.0,12.0,,,5
347,6,"Jams, jellies, and preserves",,,,,5
348,6,"Ketchup, cocktail, or chili sauce",,,,,5
349,6,Marinades,,,,,5
350,6,Mayonnaise,,,,,5
351,6,Mustard,,,,,5
352,6,Olives,,,,,5
353,6,Pickles,,,,,5
354,6,Pesto,6.0,6.0,,,5
356,6,Salad dressings,,,,,5
357,6,Salsa,,,,,5
358,6,Sauce mixes,,,,,5
359,6,Spaghetti sauce,,,,,5
360,6,Soy sauce or teriyaki sauce,,,,,5
361,6,Vinegar,,,,,5
362,6,Worcestershire sauce,,,,,5
363,1,Jars or pouches,,,,,5
364,1,Fruit,,,,,5
365,1,Vegetables,,,,,5
366,1,Dinners,,,,,5
367,1,"Cereal, dry mixes",,,,,5
368,1,Formula,,,,,5
369,1,Liquid concentrate or ready-to-feed formula,,,,,5
370,23,Applesauce,,,,,5
371,23,Bacon bits,,,,,5
372,23,Canned goods,,,,,5
373,23,Canned goods,,,,,5
374,23,Cereal,,,,,5
375,23,Cereal,,,,,5
376,23,Chocolate syrup,,,,,5
377,23,Crackers,,,,,5
378,23,Graham cracker/animal cracker,,,,,5
379,23,"Fruits, dried",,,,,5
380,23,Gummy (fruit) snacks,,,,,5
381,23,Marshmallows,,,,,5
382,23,Marshmallow crème,,,,,5
383,23,Milk,,,,,5
384,23,Molasses,,,,,5
385,23,Mushrooms,,,,,5
386,23,Nuts,,,,,5
387,23,Peanut butter,,,,,5
388,23,Pectin,,,,,5
389,23,Popcorn,,,,,5
390,23,Popcorn,,,,,5
391,23,Popcorn,,,,,5
392,23,Potato chips,,,,,5
393,23,Potatoes,,,,,5
394,23,Pretzels,,,,,5
395,23,Pudding mixes,,,,,5
396,23,Soup mixes,,,,,5
397,23,Sun dried tomatoes,,,,,5
398,23,Syrup,,,,,5
399,23,Toaster pastries,,,,,5
400,5,Coffee,,,,,5
401,5,Coffee,,,,,5
402,5,Coffee,,,,,5
403,5,Diet powder mixes and drink mixes,,,,,5
404,5,"Fruit Juice in cartons, fruit drinks, punch",,,,,5
405,5,"Juice, boxes",,,,,5
406,5,Nectar,,,,,5
407,5,Soda,,,,,5
408,5,Soy or rice beverage,,,,,5
410,5,Tea,,,,,5
411,5,Tea,,,,,5
412,5,Tea,,,,,5
413,5,Water,,,,,5
414,18,Kumquats,,,,,5
415,19,Bagged greens,,,,,5
416,6,Tahini,,,,,5
190,25,Egg salad,,,,,5
191,25,Potato salad,,,,,5
417,25,Seafood salads,,,,,5
418,25,Chicken salad,,,,,5
419,25,Ham salad,,,,,5
420,25,Pasta salad,,,,,5
421,7,Soy milk,,,,,5
422,19,Yams/sweet potatoes,,,,,5
423,19,Kale,3.0,5.0,8.0,12.0,5
425,9,Quinoa,,,,,5
426,9,Quinoa,,,,,5
427,7,Almond milk,,,,,5
428,7,Rice milk,,,,,5
429,7,Coconut milk,,,,,5
430,7,Coffee creamer,,,,,5
431,14,Turkey bacon,2.0,2.0,2.0,4.0,5
432,23,Fruit cocktail,,,,,5
433,6,Black bean sauce,,,,,5
434,6,Oyster sauce,,,,,5
435,6,Hoisin sauce,,,,,5
436,12,Pork roll,,,,,5
437,23,Almonds ,16.0,16.0,20.0,20.0,5
438,23,Almonds ,8.0,8.0,10.0,10.0,5
439,23,Cashews,6.0,6.0,12.0,12.0,5
440,23,Macadamias,12.0,12.0,24.0,24.0,5
441,23,Peanuts,12.0,12.0,24.0,24.0,5
442,23,Peanuts,12.0,12.0,24.0,24.0,5
443,23,Pecans,12.0,12.0,24.0,24.0,5
444,23,Pecans,9.0,9.0,24.0,24.0,5
445,23,Pistachios,12.0,12.0,24.0,24.0,5
446,23,Walnuts,9.0,12.0,24.0,24.0,5
447,5,Lime juice,,,,,5
448,5,Lemon juice,,,,,5
449,2,Bagel,,,,,5
450,2,Bagel ,,,,,5
451,2,Muffin,,,,,5
452,2,Muffin,,,,,5
453,2,Muffin,,,,,5
454,23,Coconut oil,,,,,5
455,5,Orange juice,,,8.0,12.0,5
456,5,Orange juice,,,12.0,12.0,5
457,5,Orange juice,,,,,5
458,23,Roasted red peppers,,,,,5
459,3,Whole wheat flour,,,,,5
460,9,Whole wheat bread,,,,,5
461,9,Whole wheat bread,,,,,5
462,5,Red wine,,,,,5
463,5,White wine,,,,,5
464,23,Dry stuffing mix,,,,,5
465,7,Powdered milk,,,,,5
466,23,Almond butter,,,,,5
467,23,Cashew butter,,,,,5
468,23,Salt,,,,,5
469,23,Black pepper,,,,,5
470,23,Black pepper,,,,,5
471,23,Cajun seasoning blend ,,,,,5
472,23,Cinnamon,,,,,5
473,23,Cumin,,,,,5
474,23,Garlic powder,,,,,5
475,23,Onion powder ,,,,,5
476,23,Nutmeg,,,,,5
477,7,Nacho cheese ,,,3.0,3.0,5
478,18,Star fruit,1.0,2.0,,,5
479,18,Prickly pear ,1.0,2.0,,,5
480,18,Pitaya/dragon fruit,2.0,3.0,,,5
481,18,Strawberries,2.0,3.0,,,5
482,18,Raspberries,2.0,3.0,,,5
483,18,Cherries,2.0,3.0,,,5
484,6,Broth,,,,,5
485,6,Beef broth/stock/consommé ,,,,,5
